Wittenau 244492
Hermsdorf 236284
Waidmannslust 232943
Reinickendorf 231119
Tegel 225314
Heiligensee 224627
Frohnau 221134
Fennpfuhl 211059
Lübars 210089
Alt-Hohenschönhausen 205453
